NDB_No,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Diabetic_Friendly,bp,obesity
1043,cheese past process pimento,375.0,22.13,19.663,31.2,1.73,0.62,614.0,0.42,22,744.0,162.0,915.0,2.98,1,0,0
1044,cheese past process swiss,334.0,24.73,16.045,25.01,2.1,1.23,772.0,0.61,29,762.0,216.0,1370.0,3.61,1,0,0
1045,cheese fd cold pk american,331.0,19.66,15.355,24.46,8.32,0.0,497.0,0.84,30,400.0,363.0,966.0,3.01,1,0,0
1046,cheese fd past process american vitamin d fort,330.0,16.86,15.057,25.63,8.56,5.59,682.0,0.26,27,438.0,255.0,1284.0,2.31,0,0,0
1047,cheese fd past process swiss,323.0,21.92,15.487,24.14,4.5,0.0,723.0,0.6,28,526.0,284.0,1552.0,3.55,1,0,0
1048,cheese sprd past process american,290.0,16.41,13.327,21.23,8.73,7.32,562.0,0.33,29,875.0,242.0,1625.0,2.59,0,0,0
1049,cream fluid half and half,123.0,3.13,7.032,10.39,4.73,4.13,107.0,0.05,10,95.0,132.0,61.0,0.39,1,0,0
1050,cream fluid lt (coffee crm or table crm),191.0,2.96,10.176,19.1,2.82,3.67,91.0,0.05,9,92.0,136.0,72.0,0.32,1,0,0
1052,cream fluid lt whipping,292.0,2.17,19.337,30.91,2.96,2.96,69.0,0.03,7,61.0,97.0,34.0,0.25,1,0,0
1053,cream fluid hvy whipping,340.0,2.84,23.032,36.08,2.74,2.92,66.0,0.1,7,58.0,95.0,27.0,0.24,0,0,0
1054,cream whipped crm topping pressurized,257.0,3.2,13.831,22.22,12.49,8.0,101.0,0.05,11,89.0,147.0,8.0,0.37,0,0,0
1055,cream sour red fat cultured,135.0,2.94,7.47,12.0,4.26,0.16,104.0,0.07,10,95.0,129.0,89.0,0.5,1,0,0
1056,cream sour cultured,198.0,2.44,10.14,19.35,4.63,3.41,101.0,0.07,10,76.0,125.0,31.0,0.33,1,0,0
1057,eggnog,88.0,4.55,2.591,4.19,8.05,8.05,130.0,0.2,19,109.0,165.0,54.0,0.46,0,1,0
1058,sour drsng non-butterfat cultured filled cream-type,178.0,3.25,13.272,16.57,4.68,4.68,113.0,0.03,10,87.0,162.0,48.0,0.37,1,0,0
1059,milk filled fluid wblend of hydr veg oils,63.0,3.33,0.768,3.46,4.74,0.0,128.0,0.05,13,97.0,139.0,57.0,0.36,1,1,1
1060,milk filled fluid wlauric acid oil,63.0,3.33,3.101,3.4,4.74,4.74,128.0,0.05,13,97.0,139.0,57.0,0.36,1,0,1
1061,cheese american nonfat or fat free,126.0,21.05,0.0,0.0,10.53,5.26,789.0,0.0,115,316.0,393.0,1316.0,4.11,0,0,0
1067,cream sub liq whydr veg oilsoy prot,136.0,1.0,1.937,9.97,11.38,11.38,9.0,0.03,0,64.0,191.0,67.0,0.02,0,1,0
1068,cream sub liq wlauric acid oilna caseinate,136.0,1.0,9.304,9.97,11.38,0.0,9.0,0.03,0,64.0,191.0,79.0,0.02,1,0,1
1069,cream substitute powdered,529.0,2.48,19.146,32.92,59.29,7.77,2.0,0.26,1,288.0,669.0,124.0,0.07,0,1,0
1070,dessert topping powdered,577.0,4.9,36.723,39.92,52.54,52.54,17.0,0.03,7,74.0,166.0,122.0,0.08,0,0,0
1071,dessert topping pdr 15 oz prep w12 cup milk,194.0,3.61,10.684,12.72,17.13,17.13,90.0,0.04,10,86.0,151.0,66.0,0.27,0,0,0
1072,dessert topping pressurized,264.0,0.98,18.912,22.3,16.07,16.07,5.0,0.02,1,18.0,19.0,62.0,0.01,0,0,0
1073,dessert topping semi solid frz,318.0,1.25,21.783,25.31,23.05,23.05,6.0,0.12,2,8.0,18.0,25.0,0.03,0,0,0
1074,sour crm imitn cultured,208.0,2.4,17.791,19.52,6.63,6.63,3.0,0.39,6,45.0,161.0,102.0,1.18,0,0,0
1076,milk substitutes fluid wlauric acid oil,61.0,1.75,3.037,3.41,6.16,0.0,33.0,0.39,6,74.0,114.0,78.0,1.18,1,0,1
1077,milk whl 325 milkfat w added vitamin d,61.0,3.15,1.865,3.25,4.8,5.05,113.0,0.03,10,84.0,132.0,43.0,0.37,0,1,0
1078,milk producer fluid 37 milkfat,64.0,3.28,2.278,3.66,4.65,0.0,119.0,0.05,13,93.0,151.0,49.0,0.38,1,1,1
1079,milk red fat fluid 2 milkfat w added vit a  vitamin d,50.0,3.3,1.257,1.98,4.8,5.06,120.0,0.02,11,92.0,140.0,47.0,0.48,0,1,0
1080,milk red fat fluid 2 milkfat w added nfms  vit a  vit d,51.0,3.48,1.195,1.92,4.97,0.0,128.0,0.05,14,100.0,162.0,52.0,0.4,1,1,1
1081,milk red fat fluid 2 milkfat prot fort w added vit a  d,56.0,3.95,1.232,1.98,5.49,5.26,143.0,0.06,16,112.0,182.0,59.0,0.45,0,1,0
1082,milk lowfat fluid 1 milkfat w added vit a  vitamin d,42.0,3.37,0.633,0.97,4.99,5.2,125.0,0.03,11,95.0,150.0,44.0,0.42,0,1,0
1083,milk lowfat fluid 1 milkfat w add nonfat milk sol vit a d,43.0,3.48,0.604,0.97,4.97,0.0,128.0,0.05,14,100.0,162.0,52.0,0.4,1,1,1
1084,milk lowfat fluid 1 milkfat prot fort w added vit a  d,48.0,3.93,0.728,1.17,5.52,0.0,142.0,0.06,16,111.0,180.0,58.0,0.45,1,1,1
1085,milk nonfat fluid w added vit a  vit d (fat free or skim),34.0,3.37,0.056,0.08,4.96,5.09,122.0,0.03,11,101.0,156.0,42.0,0.42,0,1,0
1086,milk nonfat fluid w added nonfat milk sol vit a  vit d,37.0,3.57,0.162,0.25,5.02,5.02,129.0,0.05,15,104.0,171.0,53.0,0.41,0,1,0
1087,milk nonfat fluid prot fort w add vit a  d (fat freeskim),41.0,3.96,0.162,0.25,5.56,0.0,143.0,0.06,16,112.0,182.0,59.0,0.45,1,1,1
1088,milk bttrmlk fluid cultured lowfat,40.0,3.31,0.548,0.88,4.79,4.79,116.0,0.05,11,89.0,151.0,190.0,0.42,1,1,1
1089,milk lo na fluid,61.0,3.1,2.154,3.46,4.46,4.46,101.0,0.05,5,86.0,253.0,3.0,0.38,1,1,1
1090,milk dry whl w added vitamin d,496.0,26.32,16.742,26.71,38.42,38.42,912.0,0.47,85,776.0,1330.0,371.0,3.34,0,0,0
1091,milk dry nonfat reg wo added vit a  vitamin d,362.0,36.16,0.499,0.77,51.98,51.98,1257.0,0.32,110,968.0,1794.0,535.0,4.08,0,0,0
1092,milk dry nonfat inst w added vit a  vitamin d,358.0,35.1,0.467,0.72,52.19,52.19,1231.0,0.31,117,985.0,1705.0,549.0,4.41,0,0,0
1093,milk dry nonfat ca red,354.0,35.5,0.124,0.2,51.8,0.0,280.0,0.32,60,1011.0,680.0,2280.0,4.03,0,0,0
1094,milk buttermilk dried,387.0,34.3,3.598,5.78,49.0,49.0,1184.0,0.3,110,933.0,1592.0,517.0,4.02,0,0,0
1095,milk cnd cond swtnd,321.0,7.91,5.486,8.7,54.4,54.4,284.0,0.19,26,253.0,371.0,127.0,0.94,0,1,0
1096,milk cnd evap w added vitamin d  wo added vit a,134.0,6.81,4.591,7.56,10.04,10.04,261.0,0.19,24,203.0,303.0,106.0,0.77,0,1,0
1097,milk cnd evap nonfat w added vit a  vitamin d,78.0,7.55,0.121,0.2,11.35,11.35,290.0,0.29,27,195.0,332.0,115.0,0.9,0,1,0
1102,milk choc fluid comm whl w added vit a  vitamin d,83.0,3.17,2.104,3.39,10.34,9.54,112.0,0.24,13,101.0,167.0,60.0,0.41,0,1,0
1103,milk choc fluid comm red fat,76.0,2.99,1.177,1.9,12.13,9.55,109.0,0.24,14,102.0,169.0,66.0,0.39,0,1,0
1104,milk choc lowfat w added vit a  vitamin d,62.0,3.46,0.584,1.0,9.86,9.94,129.0,0.23,13,96.0,172.0,65.0,0.43,0,1,0
1105,milk choc bev hot cocoa homemade,77.0,3.52,1.431,2.34,10.74,9.66,114.0,0.42,23,105.0,197.0,44.0,0.63,0,1,0
1106,milk goat fluid w added vitamin d,69.0,3.56,2.667,4.14,4.45,4.45,134.0,0.05,14,111.0,204.0,50.0,0.3,1,1,1
1107,milk human mature fluid,70.0,1.03,2.009,4.38,6.89,6.89,32.0,0.03,3,14.0,51.0,17.0,0.17,0,1,0
1108,milk indian buffalo fluid,97.0,3.75,4.597,6.89,5.18,0.0,169.0,0.12,31,117.0,178.0,52.0,0.22,1,0,1
1109,milk sheep fluid,108.0,5.98,4.603,7.0,5.36,0.0,193.0,0.1,18,158.0,137.0,44.0,0.54,1,0,1
1110,milk shakes thick choc,119.0,3.05,1.681,2.7,21.15,20.85,132.0,0.31,16,126.0,224.0,111.0,0.48,0,1,0
1111,milk shakes thick vanilla,112.0,3.86,1.886,3.03,17.75,17.75,146.0,0.1,12,115.0,183.0,95.0,0.39,0,1,0
1112,whey acid fluid,24.0,0.76,0.057,0.09,5.12,5.12,103.0,0.08,10,78.0,143.0,48.0,0.43,0,1,0
1113,whey acid dried,339.0,11.73,0.342,0.54,73.45,73.45,2054.0,1.24,199,1349.0,2289.0,968.0,6.31,0,0,0
1114,whey sweet fluid,27.0,0.85,0.23,0.36,5.14,5.14,47.0,0.06,8,46.0,161.0,54.0,0.13,0,1,0
1115,whey sweet dried,353.0,12.93,0.684,1.07,74.46,74.46,796.0,0.88,176,932.0,2080.0,1079.0,1.97,0,0,0
1116,yogurt pln whl milk 8 grams prot per 8 oz,61.0,3.47,2.096,3.25,4.66,4.66,121.0,0.05,12,95.0,155.0,46.0,0.59,1,1,1
1117,yogurt pln lofat 12 grams prot per 8 oz,63.0,5.25,1.0,1.55,7.04,7.04,183.0,0.08,17,144.0,234.0,70.0,0.89,0,1,0
1118,yogurt pln skim milk 13 grams prot per 8 oz,56.0,5.73,0.116,0.18,7.68,7.68,199.0,0.09,19,157.0,255.0,77.0,0.97,0,1,0
1119,yogurt vanilla lofat 11 grams prot per 8 oz,85.0,4.93,0.806,1.25,13.8,13.8,171.0,0.07,16,135.0,219.0,66.0,0.83,0,1,0
1120,yogurt fruit lofat 9 grams prot per 8 oz,99.0,3.98,0.742,1.15,18.64,18.64,138.0,0.06,13,109.0,177.0,53.0,0.67,0,1,0
1121,yogurt fruit lofat 10 grams prot per 8 oz,102.0,4.37,0.697,1.08,19.05,19.05,152.0,0.07,15,119.0,195.0,58.0,0.74,0,1,0
1122,yogurt fruit lofat 11 grams prot per 8 oz,105.0,4.86,0.909,1.41,18.6,0.0,169.0,0.07,16,133.0,216.0,65.0,0.82,1,1,1
1123,egg whl raw frsh,143.0,12.56,3.126,9.51,0.72,0.37,56.0,1.75,12,198.0,138.0,142.0,1.29,1,0,1
1124,egg white raw fresh,52.0,10.9,0.0,0.17,0.73,0.71,7.0,0.08,11,15.0,163.0,166.0,0.03,1,1,1
1125,egg yolk raw frsh,322.0,15.86,9.551,26.54,3.59,0.56,129.0,2.73,5,390.0,109.0,48.0,2.3,1,0,0
1126,egg yolk raw frz past,296.0,15.53,8.615,25.6,0.81,0.16,134.0,4.55,11,420.0,121.0,67.0,3.17,1,0,0
1127,egg yolk raw frz sugared past,307.0,13.87,7.11,22.82,10.95,10.3,124.0,3.7,10,404.0,105.0,70.0,3.06,0,0,0
1128,egg whl ckd fried,196.0,13.61,4.323,14.84,0.83,0.4,62.0,1.89,13,215.0,152.0,207.0,1.39,1,0,0
1129,egg whl ckd hard-boiled,155.0,12.58,3.267,10.61,1.12,1.12,50.0,1.19,10,172.0,126.0,124.0,1.05,1,0,0
1130,egg whole cooked omelet,154.0,10.57,3.319,11.66,0.64,0.31,48.0,1.48,11,167.0,117.0,155.0,1.09,1,0,0
1131,egg whl ckd poached,143.0,12.51,3.113,9.47,0.71,0.37,56.0,1.75,12,197.0,138.0,297.0,1.29,1,0,1
1132,egg whl ckd scrmbld,149.0,9.99,3.331,10.98,1.61,1.39,66.0,1.31,11,165.0,132.0,145.0,1.04,1,0,0
1133,egg whl dried,592.0,48.05,15.069,43.9,1.13,0.56,244.0,7.2,34,629.0,540.0,476.0,3.15,1,0,0
1134,egg whl dried stabilized glucose red,615.0,48.17,13.198,43.95,2.38,0.0,222.0,8.28,49,715.0,515.0,548.0,5.71,1,0,0
1135,egg white dried flakes stabilized glucose red,351.0,76.92,0.0,0.04,4.17,0.0,83.0,0.23,67,83.0,1042.0,1156.0,0.15,1,0,0
1136,egg white dried pdr stabilized glucose red,376.0,82.4,0.0,0.04,4.47,0.0,89.0,0.24,72,89.0,1116.0,1238.0,0.16,1,0,0
1137,egg yolk dried,669.0,33.63,20.334,59.13,0.66,0.23,289.0,9.56,26,1040.0,264.0,149.0,7.73,0,1,0
1138,egg duck whole fresh raw,185.0,12.81,3.681,13.77,1.45,0.93,64.0,3.85,17,220.0,222.0,146.0,1.41,1,1,0
1139,egg goose whole fresh raw,185.0,13.87,3.595,13.27,1.35,0.94,60.0,3.64,16,208.0,210.0,138.0,1.33,1,1,0
1140,egg quail whole fresh raw,158.0,13.05,3.557,11.09,0.41,0.4,64.0,3.65,13,226.0,132.0,141.0,1.47,1,0,0
1141,egg turkey whl frsh raw,171.0,13.68,3.632,11.88,1.15,0.0,99.0,4.1,13,170.0,142.0,151.0,1.58,1,0,0
1144,egg substitute powder,444.0,55.5,3.766,13.0,21.8,21.8,326.0,3.16,65,478.0,744.0,800.0,1.82,0,0,0
1145,butter without salt,717.0,0.85,50.489,81.11,0.06,0.06,24.0,0.02,2,24.0,24.0,11.0,0.09,0,0,0
1146,cheese parmesan shredded,415.0,37.86,17.37,27.34,3.41,0.9,1253.0,0.87,51,735.0,97.0,1696.0,3.19,1,0,0
1151,milk nonfat fluid wo added vit a  vit d (fat free or skim),34.0,3.37,0.051,0.08,4.96,5.09,122.0,0.03,11,101.0,156.0,42.0,0.42,0,1,0
1152,milk red fat fluid 2 milkfat w nonfat milk sol wo vit a,56.0,3.95,1.232,1.98,5.49,0.0,143.0,0.06,15,112.0,182.0,59.0,0.41,1,1,1
1153,milk cnd evap w vit a,134.0,6.81,4.591,7.56,10.04,0.0,261.0,0.19,24,203.0,303.0,106.0,0.77,1,1,1
1154,milk dry nonfat reg w added vit a  vitamin d,362.0,36.16,0.499,0.77,51.98,51.98,1257.0,0.32,110,968.0,1794.0,535.0,4.08,0,0,0
1155,milk dry nonfat inst wo added vit a  vitamin d,358.0,35.1,0.47,0.72,52.19,52.19,1231.0,0.31,117,985.0,1705.0,549.0,4.41,0,0,0
1156,cheese goat hard type,452.0,30.52,24.609,35.59,2.17,2.17,895.0,1.88,54,729.0,48.0,423.0,1.59,0,0,0
1157,cheese goat semisoft type,364.0,21.58,20.639,29.84,0.12,0.12,298.0,1.62,29,375.0,158.0,415.0,0.66,0,0,0
1159,cheese goat soft type,264.0,18.52,14.575,21.08,0.0,0.0,140.0,1.9,16,256.0,26.0,459.0,0.92,1,0,0
1160,egg yolk raw frz salted past,275.0,14.07,7.159,22.93,1.77,0.07,113.0,3.4,7,414.0,111.0,3487.0,2.87,1,0,0
1161,cheese sub mozzarella,248.0,11.47,3.711,12.22,23.67,23.67,610.0,0.4,41,583.0,455.0,685.0,1.92,0,0,0
1164,cheese sau prep from recipe,197.0,10.33,8.034,14.92,5.48,0.19,311.0,0.35,19,229.0,142.0,493.0,1.26,1,0,0
1165,cheese mexican queso anejo,373.0,21.44,19.033,29.98,4.63,4.63,680.0,0.47,28,444.0,87.0,1131.0,2.94,1,0,0
1166,cheese mexican queso asadero,356.0,22.6,17.939,28.26,2.87,2.87,661.0,0.51,26,443.0,86.0,705.0,3.02,1,0,0
1167,cheese mexican queso chihuahua,374.0,21.56,18.843,29.68,5.56,5.56,651.0,0.47,23,442.0,52.0,617.0,3.5,0,0,0
1168,cheese lofat cheddar or colby,173.0,24.35,4.342,7.0,1.91,0.52,415.0,0.42,16,484.0,66.0,873.0,1.82,1,0,1
1169,cheese low-sodium cheddar or colby,398.0,24.35,20.768,32.62,1.91,0.49,703.0,0.72,27,484.0,112.0,21.0,3.09,0,0,0
1171,egg whl raw frz past,147.0,12.33,3.382,9.95,1.01,0.25,62.0,1.74,9,193.0,135.0,128.0,1.32,1,0,1
1172,egg white raw frz past,48.0,10.2,0.0,0.0,1.04,0.25,8.0,0.04,11,13.0,169.0,169.0,0.07,1,1,1
1173,egg white dried,382.0,81.1,0.0,0.0,7.8,5.4,62.0,0.15,88,111.0,1125.0,1280.0,0.1,0,0,0
1174,milk red fat fluid 2 milkfat wo added vit a  vit d,50.0,3.3,1.257,1.98,4.8,5.06,120.0,0.02,11,92.0,140.0,47.0,0.48,0,1,0
1175,milk fluid 1 fat wo added vit a  vit d,42.0,3.37,0.633,0.97,4.99,5.2,125.0,0.03,11,95.0,150.0,44.0,0.42,0,1,0
1178,sour cream reduced fat,181.0,7.0,8.7,14.1,7.0,0.3,141.0,0.06,11,85.0,211.0,70.0,0.27,1,1,0
1179,sour cream light,136.0,3.5,6.6,10.6,7.1,0.22,141.0,0.07,10,71.0,212.0,83.0,0.5,1,1,0
1180,sour cream fat free,74.0,3.1,0.0,0.0,15.6,0.39,125.0,0.0,10,95.0,129.0,141.0,0.5,1,1,1
1182,usda commodity chs cheddar red fat,282.0,27.2,11.58,18.3,2.0,0.58,905.0,0.13,35,583.0,93.0,725.0,4.3,1,0,0
1184,yogurt van or lem flav nonfat milk swtnd wlow-calorie swtnr,43.0,3.86,0.116,0.18,7.5,7.5,143.0,0.12,13,109.0,177.0,59.0,0.67,0,1,0
1185,parmesan chs topping fat free,370.0,40.0,3.11,5.0,40.0,1.5,800.0,5.0,40,700.0,600.0,1150.0,3.0,0,0,0
1186,cheese cream fat free,105.0,15.69,0.644,1.0,7.66,5.48,351.0,0.19,22,523.0,278.0,702.0,1.5,0,0,0
1187,yogurt choc nonfat milk,112.0,3.53,0.0,0.0,23.53,14.97,88.0,0.42,40,166.0,339.0,135.0,1.13,0,1,0
1188,kraft cheez whiz past process chs sau,276.0,12.0,13.1,21.0,9.2,6.7,359.0,0.19,0,806.0,240.0,1638.0,1.64,0,0,0
1189,kraft cheez whiz lt past process chs product,215.0,16.3,6.4,9.5,16.2,8.2,418.0,0.16,0,943.0,297.0,1705.0,2.36,0,0,0
1190,kraft free singles american nonfat past process chs product,148.0,22.7,0.7,1.0,11.7,6.7,712.0,0.05,0,923.0,236.0,1298.0,2.5,0,0,0
1191,kraft velveeta past process chs sprd,303.0,16.3,14.4,22.0,9.8,8.1,466.0,0.18,0,863.0,335.0,1499.0,1.84,0,0,0
1192,kraft velveeta lt red fat past process chs product,222.0,19.6,7.1,10.6,11.8,8.5,574.0,0.14,0,1024.0,345.0,1586.0,2.49,0,0,0
1193,kraft breakstone's red fat sour crm,152.0,4.5,7.6,12.0,6.5,6.4,161.0,0.06,0,110.0,210.0,59.0,0.0,0,1,0
1194,kraft breakstone's free fat free sour crm,91.0,4.7,0.8,1.3,15.1,7.2,141.0,0.05,0,116.0,219.0,72.0,0.0,0,1,0
1199,cream half  half fat free,59.0,2.6,0.841,1.4,9.0,5.0,96.0,0.0,16,151.0,206.0,100.0,0.81,1,1,0
1200,reddi wip fat free whipped topping,149.0,3.0,2.869,5.0,25.0,16.0,108.0,0.03,8,68.0,108.0,72.0,0.31,0,1,0
1202,milk choc fluid comm red fat w added ca,78.0,2.99,1.177,1.9,12.13,9.55,194.0,0.24,14,76.0,123.0,66.0,0.39,0,1,0
1203,yogurt fruit lofat wlo cal sweetener,105.0,4.86,0.909,1.41,18.6,2.9,152.0,0.07,16,133.0,194.0,58.0,0.82,1,1,1
1204,cheese parmesan dry grated red fat,265.0,20.0,13.317,20.0,1.37,0.0,1109.0,0.9,38,729.0,125.0,1529.0,3.87,1,0,0
1205,cream sub flav liq,251.0,0.69,2.635,13.5,35.07,33.04,6.0,0.59,19,28.0,96.0,67.0,0.25,0,1,0
1206,cream sub flav pdr,482.0,0.68,19.446,21.47,75.42,58.01,5.0,0.63,17,28.0,90.0,123.0,0.23,0,0,0
1208,cheese provolone red fat,274.0,24.7,11.3,17.6,3.5,0.55,756.0,0.52,28,496.0,138.0,615.0,3.23,1,0,0
1209,cheese mexican blend red fat,282.0,24.69,11.58,19.4,3.41,0.56,1146.0,0.13,35,583.0,93.0,776.0,4.3,1,0,0
1210,egg mix usda cmdty,555.0,35.6,10.305,34.5,23.97,2.46,171.0,3.23,11,451.0,373.0,576.0,2.76,1,0,0
1211,milk whl 325 milkfat wo added vit a  vitamin d,61.0,3.15,1.865,3.27,4.78,5.05,113.0,0.03,10,84.0,132.0,43.0,0.37,0,1,0
1212,milk dry whl wo added vitamin d,496.0,26.32,16.742,26.71,38.42,38.42,912.0,0.47,85,776.0,1330.0,371.0,3.34,0,0,0
1214,milk cnd evap wo added vit a  vitamin d,135.0,6.81,4.591,7.56,10.04,10.04,261.0,0.19,24,203.0,303.0,106.0,0.77,0,1,0
1215,cheese product past process american red fat fort w vit d,240.0,17.6,8.85,14.1,10.6,8.02,529.0,0.2,33,829.0,330.0,1201.0,2.36,0,0,0
1216,yogurt fruit lofat 9 grams prot per 8 oz fort w vitamin d,99.0,3.98,0.742,1.15,18.64,18.64,138.0,0.06,13,109.0,177.0,53.0,0.67,0,1,0
1217,yogurt fruit lofat 10 grams prot per 8 oz fort w vitamin d,102.0,4.37,0.697,1.08,19.05,19.05,152.0,0.07,15,119.0,195.0,58.0,0.74,0,1,0
1218,yogurt fruit var nonfat fort w vitamin d,95.0,4.4,0.119,0.2,19.0,19.0,152.0,0.07,15,119.0,194.0,58.0,0.74,0,1,0
